day,month,totalPoints,cumulativePoints,rollingAvgPoints,taskCompleted,taskMissed,pointsGain,pointsDeduct,mindStatus
1,2,40,-134,24.666666666666668,5,0,40,0,Focused
2,3,32,-102,31.333333333333332,4,0,32,0,Focused
3,6,44,-58,38.666666666666664,6,1,54,10,Focused
4,2,30,-28,35.333333333333336,4,0,30,0,Focused
5,2,45,17,39.666666666666664,5,0,45,0,Focused
6,1,64,81,46.333333333333336,6,0,64,0,Focused
7,7,52,133,53.666666666666664,5,0,52,0,Focused
8,12,42,175,52.666666666666664,6,0,42,0,Focused
9,12,24,199,39.333333333333336,4,0,24,0,Focused
10,6,47,246,37.666666666666664,6,1,52,5,Focused
11,4,36,282,35.666666666666664,6,1,41,5,Focused
12,3,13,295,32,5,0,13,0,Focused
13,8,47,342,32,6,0,47,0,Focused
14,12,12,354,24,5,1,32,20,Focused
15,4,60,414,39.666666666666664,6,1,65,5,Focused
16,9,47,461,39.666666666666664,6,1,67,20,Focused
17,11,7,468,38,4,1,27,20,Focused
18,9,52,520,35.333333333333336,5,1,57,5,Focused
19,1,-6,514,17.666666666666668,4,1,14,20,Focused
20,5,4,518,16.666666666666668,4,1,24,20,Focused
21,1,22,540,6.666666666666667,6,1,52,30,Focused
22,8,62,602,29.333333333333332,6,0,62,0,Focused
23,7,22,624,35.333333333333336,4,0,22,0,Focused
24,2,-8,616,25.333333333333332,5,1,22,30,Focused
25,8,4,620,6,4,1,24,20,Focused
26,8,9,629,1.6666666666666667,4,1,29,20,Focused
27,1,42,671,18.333333333333332,4,0,42,0,Focused
28,9,-6,665,15,5,1,24,30,Focused
29,1,-1,664,11.666666666666666,5,1,29,30,Focused
30,10,32,696,8.333333333333334,5,0,32,0,Focused
1,3,30,726,20.333333333333332,3,1,35,5,Default
2,4,10,736,24,3,2,30,20,Default
3,8,12,748,17.333333333333332,2,1,17,5,Default
4,4,-10,738,4,1,2,10,20,Default
5,1,-35,703,-11,1,2,15,50,Default
6,10,10,713,-11.666666666666666,3,1,15,5,Default
7,10,-25,688,-16.666666666666668,1,2,10,35,Default
1,3,42,730,9,5,0,42,0,Motivated
2,8,26,756,14.333333333333334,5,0,26,0,Motivated
3,8,30,786,32.666666666666664,3,0,30,0,Motivated
4,10,35,821,30.333333333333332,3,0,35,0,Motivated
5,1,49,870,38,5,0,49,0,Motivated
6,12,-6,864,26,5,1,24,30,Motivated
7,6,24,888,22.333333333333332,5,0,24,0,Motivated
1,4,42,930,20,4,0,42,0,Distracted
2,7,17,947,27.666666666666668,3,0,17,0,Distracted
3,1,-30,917,9.666666666666666,1,2,5,35,Distracted
4,3,-40,877,-17.666666666666668,0,2,0,40,Distracted
5,11,-70,807,-46.666666666666664,0,4,0,70,Distracted
6,7,-50,757,-53.333333333333336,0,3,0,50,Distracted
7,3,-23,734,-47.666666666666664,1,2,2,25,Distracted
1,5,-23,711,-32,2,3,12,35,Tired
2,9,-8,703,-18,3,2,12,20,Tired
3,6,-25,678,-18.666666666666668,2,3,25,50,Tired
4,7,-60,618,-31,1,3,10,70,Tired
5,3,-25,593,-36.666666666666664,2,3,20,45,Tired
6,5,-15,578,-33.333333333333336,1,3,10,25,Tired
7,11,-25,553,-21.666666666666668,1,3,15,40,Tired
1,11,5,558,-11.666666666666666,3,1,35,30,Stressed
2,7,15,573,-1.6666666666666667,2,0,15,0,Stressed
3,1,-35,538,-5,0,2,0,35,Stressed
4,5,-1,537,-7,3,1,9,10,Stressed
5,8,17,554,-6.333333333333333,3,1,22,5,Stressed
6,11,-13,541,1,2,1,17,30,Stressed
7,3,25,566,9.666666666666666,3,0,25,0,Stressed
1,9,27,593,13,6,1,47,20,Focused
2,7,14,607,22,5,1,34,20,Focused
3,1,42,649,27.666666666666668,6,1,47,5,Focused
4,4,62,711,39.333333333333336,6,0,62,0,Focused
5,4,-6,705,32.666666666666664,4,1,24,30,Focused
6,3,5,710,20.333333333333332,5,1,35,30,Focused
7,8,34,744,11,6,0,34,0,Focused
8,1,26,770,21.666666666666668,6,1,36,10,Focused
9,6,55,825,38.333333333333336,5,1,60,5,Focused
10,9,32,857,37.666666666666664,5,1,37,5,Focused
11,2,4,861,30.333333333333332,4,1,14,10,Focused
12,6,15,876,17,4,1,45,30,Focused
13,9,45,921,21.333333333333332,4,0,45,0,Focused
14,11,50,971,36.666666666666664,4,0,50,0,Focused
15,8,10,981,35,4,1,40,30,Focused
16,5,47,1028,35.666666666666664,6,1,57,10,Focused
17,6,46,1074,34.333333333333336,6,0,46,0,Focused
18,11,50,1124,47.666666666666664,5,0,50,0,Focused
19,3,47,1171,47.666666666666664,6,0,47,0,Focused
20,2,20,1191,39,6,1,50,30,Focused
21,6,45,1236,37.333333333333336,4,0,45,0,Focused
22,1,47,1283,37.333333333333336,6,1,67,20,Focused
23,9,24,1307,38.666666666666664,5,0,24,0,Focused
24,4,12,1319,27.666666666666668,6,1,42,30,Focused
25,10,52,1371,29.333333333333332,5,0,52,0,Focused
26,2,30,1401,31.333333333333332,4,1,40,10,Focused
27,9,27,1428,36.333333333333336,4,0,27,0,Focused
28,1,45,1473,34,5,1,50,5,Focused
29,8,35,1508,35.666666666666664,4,0,35,0,Focused
30,1,25,1533,35,4,1,35,10,Focused
